section_name,question_number,question_text,plain_text,option_a,option_b,option_c,option_d,correct_option,marks,diagram_url
ENGINEERING MATHEMATICS,17,J‘cotzxdxz a) —cotx —x + ¢ b) cotx —x + ¢ c)tanx—x+c d) tan’x + ¢ D-CET Syllabus 42,J‘cotzxdxz a) —cotx —x + ¢ b) cotx —x + ¢ c)tanx—x+c d) tan’x + ¢ D-CET Syllabus 42,,,,,A,1,
ENGINEERING MATHEMATICS,19,I«/l+c052x dx s a) 2cosx+c b) 2sinx+c¢ c) V2 cosx+e d) V2sinx+ec,I«/l+c052x dx s a) 2cosx+c b) 2sinx+c¢ c) V2 cosx+e d) V2sinx+ec,,,,,D,1,
ENGINEERING MATHEMATICS,20,The value of J.sinx cosx dx is o,The value of J.sinx cosx dx is o,—1/4,1/4,n/2,n/4,B,1,
STATISTICS & ANALYTICS,24,"The syntax to find frequency distribution in an interval in excel is a) =COUNTIFS (criteria_range 1, criterial, ..... b) = COUNTIF (criteria_range I, criterial, ¢) =COUNT (criteria_range |, criterial, ... d) =COUNTIFS (criteria 1, criteria 2, .....)","The syntax to find frequency distribution in an interval in excel is a) =COUNTIFS (criteria_range 1, criterial, ..... b) = COUNTIF (criteria_range I, criterial, ¢) =COUNT (criteria_range |, criterial, ... d) =COUNTIFS (criteria 1, criteria 2, .....)",,,,,A,1,
STATISTICS & ANALYTICS,26,Frequency polygon is a graph a) Scatter graph b) Pie graph ¢) Bargraph d) Line graph,Frequency polygon is a graph a) Scatter graph b) Pie graph ¢) Bargraph d) Line graph,,,,,D,1,
STATISTICS & ANALYTICS,28,"Choose the right steam-leaf plot from the following plots for the data set. 52, 20, 44, 28, 20, 41, 30, 56, 32, 28 Stem | Leaf Stem | Leaf 2 0088 2 0088 Plot-1: 3 20 Plot2: 3 02 4 14 4 14 5 26 5 26 Stem | Leaf Stem | Leaf 2 08 2 80 Plot-3: 3 20 Plot-4: 3 20 4 14 4 41 5 26 5 62","Choose the right steam-leaf plot from the following plots for the data set. 52, 20, 44, 28, 20, 41, 30, 56, 32, 28 Stem | Leaf Stem | Leaf 2 0088 2 0088 Plot-1: 3 20 Plot2: 3 02 4 14 4 14 5 26 5 26 Stem | Leaf Stem | Leaf 2 08 2 80 Plot-3: 3 20 Plot-4: 3 20 4 14 4 41 5 26 5 62",Plot-1,Plot-2,Plot-3,Plot-4,B,1,
STATISTICS & ANALYTICS,29,"The below chart represents the expenditure of a person in a month. If his salary is 50,000 what is his total expenditure on rent and transport? 40% Incidental expenses","The below chart represents the expenditure of a person in a month. If his salary is 50,000 what is his total expenditure on rent and transport? 40% Incidental expenses","730,000 ¢) T 15,000","725,000",,,C,1,
STATISTICS & ANALYTICS,31,"The Excel syntax for finding quartile 4 (4™ quartile) for a given data set is T. T. T Academy DCET - 2025 Question Paper & Solutions a) =QUARTILE [array, 4] b) = QQUARTILE (array, 4) ¢) =QUARTILE (array_4) d) =QUARTILE (array-4)","The Excel syntax for finding quartile 4 (4™ quartile) for a given data set is T. T. T Academy DCET - 2025 Question Paper & Solutions a) =QUARTILE [array, 4] b) = QQUARTILE (array, 4) ¢) =QUARTILE (array_4) d) =QUARTILE (array-4)",,,,,B,1,
STATISTICS & ANALYTICS,32,"Which of the following equalities and inequalities is true for the data set 25, 25, 25, 25, 25, 25, 25, 25, 25? a) Variance > Standard deviation b) Variance = Standard deviation ¢) Variance < Standard deviation d) Variance <0, Standard deviation <0","Which of the following equalities and inequalities is true for the data set 25, 25, 25, 25, 25, 25, 25, 25, 25? a) Variance > Standard deviation b) Variance = Standard deviation ¢) Variance < Standard deviation d) Variance <0, Standard deviation <0",,,,,B,1,
STATISTICS & ANALYTICS,33,Skewness of the distribution shown below is [°F w T =3 -2 -1 0 1,Skewness of the distribution shown below is [°F w T =3 -2 -1 0 1,,,,,B,1,
STATISTICS & ANALYTICS,34,"If the Kurtosis = 3, then the data distribution is called a) Leptokurtic c) Platykurtic b) Mesokurtic d) Skewkurtic T. T. T Academy a) a-iii,b-iv,c-1i,d-ii b) a-iv,b-1i,c-ii, d-iii ¢) a-iv,b-i,c-iii, d-ii d) a-i,b-ii, ¢ - i, d-iv 46 D-CET Syllabus","If the Kurtosis = 3, then the data distribution is called a) Leptokurtic c) Platykurtic b) Mesokurtic d) Skewkurtic T. T. T Academy a) a-iii,b-iv,c-1i,d-ii b) a-iv,b-1i,c-ii, d-iii ¢) a-iv,b-i,c-iii, d-ii d) a-i,b-ii, ¢ - i, d-iv 46 D-CET Syllabus",,,,,A,1,
STATISTICS & ANALYTICS,36,Match the following data types: a)a=5 i) string,Match the following data types: a)a=5 i) string,>0,=0,<0,,B,1,
STATISTICS & ANALYTICS,37,"What is the syntax to assign the data type to a variable in Python? a) Name = ""hello world"" b) Height=5.9 ¢) Assertion=True d) All ofthe above","What is the syntax to assign the data type to a variable in Python? a) Name = ""hello world"" b) Height=5.9 ¢) Assertion=True d) All ofthe above",,,,,D,1,
STATISTICS & ANALYTICS,38,Which of the following is a valid variable name in Python? a) 1 Var b) Var_name ¢) Var-name d) Var name,Which of the following is a valid variable name in Python? a) 1 Var b) Var_name ¢) Var-name d) Var name,,,,,B,1,
STATISTICS & ANALYTICS,39,The output of the following Python program is n=5 A=0 while (n>0) : A=A+n n=n-1 print (,The output of the following Python program is n=5 A=0 while (n>0) : A=A+n n=n-1 print (,15,,55,,A,1,
STATISTICS & ANALYTICS,40,Which of the following is the correct syntax of an if statement in Python?,Which of the following is the correct syntax of an if statement in Python?,ifx>0 then:,if (x> 10) ¢) ifx>10:,,ifx>10;,C,1,
IT Skills,41,"Consider the following algorithms: Stepl:A=5,B=3 Step2:ifA>B,thenA=A-B Step3:B=A+B Step 4 : Output B What is the output?","Consider the following algorithms: Stepl:A=5,B=3 Step2:ifA>B,thenA=A-B Step3:B=A+B Step 4 : Output B What is the output?",2,5,8,3,B,1,
IT Skills,43,"Consider the following algorithm: Start ifa<=banda<=c print a elseifb<=aandb<=c print b else print ¢ End. ifa=10,b=25,¢c=33 What output will be printed for the above algorithm?","Consider the following algorithm: Start ifa<=banda<=c print a elseifb<=aandb<=c print b else print ¢ End. ifa=10,b=25,¢c=33 What output will be printed for the above algorithm?",25 o) 33,10,,,B,1,
IT Skills,44,"Consider the following algorithm: if num >0 num = num + 10 print num else if num == 0 num = num * 10 print num else print num. ‘What will be the output, if num =-5?","Consider the following algorithm: if num >0 num = num + 10 print num else if num == 0 num = num * 10 print num else print num. ‘What will be the output, if num =-5?",50,—50,-5,,B,1,
IT Skills,45,"Consider the following flowchart. &> Yes * Yes J Print a Print b ‘What will be the output if a=10,b=15,c=5?","Consider the following flowchart. &> Yes * Yes J Print a Print b ‘What will be the output if a=10,b=15,c=5?",10,15,error,s,D,1,
IT Skills,47,"Consider the following HTML code snippet. <select name = ""cars"" id = ""carselect'> <option value = ""volvo'>Volvo </option> <option value =""XUV'"">XUV</option> <option value = ""Tata"">Tata</option> <\select> What does the <select> element do in this code? a) Itcreates a text input field for users to type in b) Itcreatesa dropdown list from which the user can select a car brand. ¢) Itallows users to choose multiple options from alistof cars. d) Itcreates a button that users can click to select acar brand","Consider the following HTML code snippet. <select name = ""cars"" id = ""carselect'> <option value = ""volvo'>Volvo </option> <option value =""XUV'"">XUV</option> <option value = ""Tata"">Tata</option> <\select> What does the <select> element do in this code? a) Itcreates a text input field for users to type in b) Itcreatesa dropdown list from which the user can select a car brand. ¢) Itallows users to choose multiple options from alistof cars. d) Itcreates a button that users can click to select acar brand",,,,,B,1,
IT Skills,48,Which CSS property is used to set the background color of a webpage? a) background-color b) color ¢) bg-color d) background-image,Which CSS property is used to set the background color of a webpage? a) background-color b) color ¢) bg-color d) background-image,,,,,A,1,
IT Skills,49,Which CSS selector is used to select an HTML element with a specific id? a) id b) #id o) id d) [id] 50,Which CSS selector is used to select an HTML element with a specific id? a) id b) #id o) id d) [id] 50,,,,,B,1,
IT Skills,50,Which event is triggered when a user clicks on an HTML element in JavaScript? a) onload b) onclick ¢) onhover d) onchange,Which event is triggered when a user clicks on an HTML element in JavaScript? a) onload b) onclick ¢) onhover d) onchange,,,,,B,1,
IT Skills,51,Which of the following factors can help improve a website's SEO ranking? a) Using JavaScript for content rendering b) High Keyword density in the content ¢) Usingrelevantand high-quality backlinks d) Including as many images as possible on the homepage.,Which of the following factors can help improve a website's SEO ranking? a) Using JavaScript for content rendering b) High Keyword density in the content ¢) Usingrelevantand high-quality backlinks d) Including as many images as possible on the homepage.,,,,,C,1,
IT Skills,52,"Which of the following are the correct description with respect to structured organisation. (a) Operations — produces goods or services, ensures quality and efficiency. (b) Marketing — Identifies customer needs, promotes or services. D-CET Syllabus (c) H.R.(Human Resources): Manages budgeting, accounting and financial planning.","Which of the following are the correct description with respect to structured organisation. (a) Operations — produces goods or services, ensures quality and efficiency. (b) Marketing — Identifies customer needs, promotes or services. D-CET Syllabus (c) H.R.(Human Resources): Manages budgeting, accounting and financial planning.",",(",(,,,A,1,
IT Skills,53,"Which of the following statements best describes the purpose of ERP tools in an organisation. a) ERP tools are designed to manage customer relationships and marketing strategies. b) ERP tools are used to integrate and automate key business processes across department as finance, HR, inventory and supply chain. c) ERPtoolsare primarily focused in managing email communication between employees an organization. d) ERP tools are closely used for managing the IT infrastructure and hardware resources organisation.","Which of the following statements best describes the purpose of ERP tools in an organisation. a) ERP tools are designed to manage customer relationships and marketing strategies. b) ERP tools are used to integrate and automate key business processes across department as finance, HR, inventory and supply chain. c) ERPtoolsare primarily focused in managing email communication between employees an organization. d) ERP tools are closely used for managing the IT infrastructure and hardware resources organisation.",,,,,B,1,
IT Skills,55,Which of the following is an example of 1oT in smart homes? a) A GPS system in a car for navigation b) A thermostat that adjusts temperature based on occupancy and preferences T. T. T Academy DCET - 2025 Question Paper & Solutions ¢) Ane-commerce website for shopping d) A manual doorbell,Which of the following is an example of 1oT in smart homes? a) A GPS system in a car for navigation b) A thermostat that adjusts temperature based on occupancy and preferences T. T. T Academy DCET - 2025 Question Paper & Solutions ¢) Ane-commerce website for shopping d) A manual doorbell,,,,,B,1,
IT Skills,57,Which of the following is a platform for developing IoT applications? a) Google Docs b) Arduino ¢) Microsoft,Which of the following is a platform for developing IoT applications? a) Google Docs b) Arduino ¢) Microsoft,,,,WinZip,B,1,
IT Skills,58,"a) i-d,ii-c,iii-b,iv-a b) i-d,ii-c,iii-a,iv-b c) i-a,ii-b,iii-c,iv-d d) i-d,ii-a,iii-b,iv-c","a) i-d,ii-c,iii-b,iv-a b) i-d,ii-c,iii-a,iv-b c) i-a,ii-b,iii-c,iv-d d) i-d,ii-a,iii-b,iv-c",,,,,B,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,61,"Match the following with symbols Resistance ) —}— ii) Transformer b) —I|— iii) Capacitor o 3k iv) Battery T. T. T Academy a) i-a,ii-c,iii-d,iv-b b) i-d,ii-b,iii-c,iv-a ) i-b,ii-c,iii-d,iv-a d) i-d,ii-c,iii-a,iv-b","Match the following with symbols Resistance ) —}— ii) Transformer b) —I|— iii) Capacitor o 3k iv) Battery T. T. T Academy a) i-a,ii-c,iii-d,iv-b b) i-d,ii-b,iii-c,iv-a ) i-b,ii-c,iii-d,iv-a d) i-d,ii-c,iii-a,iv-b",,,,,D,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,62,Earthing plate is made up of a) Bakelite b) Aluminum c) Copper d) Plastic,Earthing plate is made up of a) Bakelite b) Aluminum c) Copper d) Plastic,,,,,C,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,63,"Match the following: i) Current a) Watts ii) Power b) Hertz iii) Energy ¢) Kwh iv) Frequency d) Ampere b) i-a,ii-c,iii-b,iv-d ¢) i-c,ii-b,iii-d,iv-a d) i-d,ii-a,iii-c,iv-b","Match the following: i) Current a) Watts ii) Power b) Hertz iii) Energy ¢) Kwh iv) Frequency d) Ampere b) i-a,ii-c,iii-b,iv-d ¢) i-c,ii-b,iii-d,iv-a d) i-d,ii-a,iii-c,iv-b",,,,,D,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,64,"If resistance of value 12Q and 6Q are connected in parallel, the equivalent resistance of the combination is","If resistance of value 12Q and 6Q are connected in parallel, the equivalent resistance of the combination is",18Q,06 Q2,04Q,02Q,C,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,67,"In a pure resistive circuit, which one of the following statement is true? a) Both current and voltage are in phase b) Current leads the voltage c) Voltage lags the current d) Both current and voltage are out of phase","In a pure resistive circuit, which one of the following statement is true? a) Both current and voltage are in phase b) Current leads the voltage c) Voltage lags the current d) Both current and voltage are out of phase",,,,,A,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,68,HRC fuses can be used upto a maximum current of a) 250mA b) 500 mA c) 1A d) 1250A T. T. T Academy DCET - 2025 Question Paper & Solutions,HRC fuses can be used upto a maximum current of a) 250mA b) 500 mA c) 1A d) 1250A T. T. T Academy DCET - 2025 Question Paper & Solutions,,,,,D,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,69,"To control single lamp from two different iv) Fan d) 3¢ Induction places, the control switch used is switch. motor a) Double pole b) Two way a) i-a,ii-b,iii-c,iv-d ¢) Single pole d) One way b) i-c,ii-a,iii-d,iv-b c) i-b,ii-c,iii-d,iv-a","To control single lamp from two different iv) Fan d) 3¢ Induction places, the control switch used is switch. motor a) Double pole b) Two way a) i-a,ii-b,iii-c,iv-d ¢) Single pole d) One way b) i-c,ii-a,iii-d,iv-b c) i-b,ii-c,iii-d,iv-a",,,,,B,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,70,"A fuse is always connected to the circuit. KVA is used for apparent power rating, often for a) Parallel b) Across the load transformell'& . ¢) Series d) Across the supply Star-delta is a starting method for 3-phase motors.","A fuse is always connected to the circuit. KVA is used for apparent power rating, often for a) Parallel b) Across the load transformell'& . ¢) Series d) Across the supply Star-delta is a starting method for 3-phase motors.",,,,,C,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,71,"In a Transformer, remains constant ¢) Secondary d) Concentric a) Voltage b) Frequency ¢) Current d) Both currentand voltage","In a Transformer, remains constant ¢) Secondary d) Concentric a) Voltage b) Frequency ¢) Current d) Both currentand voltage",,,,,C,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,72,The combination of two or more cells is a) Converts high voltage to low voltage a) Battery b) load cell b) Converts high frequency to low frequency ¢) Primary cell d) Generator ¢) Converts low voltage to high voltage d) Transfers energy at constant frequency,The combination of two or more cells is a) Converts high voltage to low voltage a) Battery b) load cell b) Converts high frequency to low frequency ¢) Primary cell d) Generator ¢) Converts low voltage to high voltage d) Transfers energy at constant frequency,,,,,A,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,77,Which of the following is a common type of sensor used for measuring temperature?,Which of the following is a common type of sensor used for measuring temperature?,Proximity sensor,Pressure sensor,Flow sensor,,D,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,78,What does the fourth band in a 4-band resistor indicate? a) Resistance,What does the fourth band in a 4-band resistor indicate? a) Resistance,,Multiplier,,,D,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,79,Which of the following is an example of Insulator? a) Aluminium b)Rubber,Which of the following is an example of Insulator? a) Aluminium b)Rubber,,,Iron,,B,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,80,Diode is made up of material. a) Conducting ¢) Insulating b) Semiconducting d) Electronic,Diode is made up of material. a) Conducting ¢) Insulating b) Semiconducting d) Electronic,,,,,B,1,
PROJECT MANAGEMENT SKILLS,81,Complete the following analogy. Project : Deliverables :: Operation: a) Deadlines b) Efficiency,Complete the following analogy. Project : Deliverables :: Operation: a) Deadlines b) Efficiency,,,Repetition,,C,1,
PROJECT MANAGEMENT SKILLS,82,Multiple objectives are achieved again and again in a) Operation b)Project c¢)Business d) Sales,Multiple objectives are achieved again and again in a) Operation b)Project c¢)Business d) Sales,,,,,A,1,
PROJECT MANAGEMENT SKILLS,83,"Which of the following are the examples of consultancy firms? A) Accenture C) Tata Motors Codes: a) A,BandConly b) A,BandD only ¢) AandDonly d) A,B,Cand D B) TCS D) Birla Technical Services","Which of the following are the examples of consultancy firms? A) Accenture C) Tata Motors Codes: a) A,BandConly b) A,BandD only ¢) AandDonly d) A,B,Cand D B) TCS D) Birla Technical Services",,,,,B,1,
PROJECT MANAGEMENT SKILLS,85,Complete the following analogy Project procedure Manual : Provides standard operating procedures : : Projectdiary: a) Records daily events and issues b) Provides step-by-step instructions ¢) Outlines rules and processes d) Used only during project closure,Complete the following analogy Project procedure Manual : Provides standard operating procedures : : Projectdiary: a) Records daily events and issues b) Provides step-by-step instructions ¢) Outlines rules and processes d) Used only during project closure,,,,,A,1,
PROJECT MANAGEMENT SKILLS,89,"High demand, high selling price, low variable cost are the examples of iv) Project advisors d) Helps to start the project and plan the initial steps a) i-d,ii-b,iii-c,iv-a b) i-a,ii-b, ¢) i-b,ii-a,iii-c,iv-d d) i-d,ii-c,iii-b,iv-a","High demand, high selling price, low variable cost are the examples of iv) Project advisors d) Helps to start the project and plan the initial steps a) i-d,ii-b,iii-c,iv-a b) i-a,ii-b, ¢) i-b,ii-a,iii-c,iv-d d) i-d,ii-c,iii-b,iv-a",,,,,A,1,
PROJECT MANAGEMENT SKILLS,91,Risk arising due to fluctuation of interest rate OR mistakes in accounting is known as risks. a) Policy b) Technical ¢) Marketing d) Financial,Risk arising due to fluctuation of interest rate OR mistakes in accounting is known as risks. a) Policy b) Technical ¢) Marketing d) Financial,,,,,D,1,
PROJECT MANAGEMENT SKILLS,93,The full form of CPM in project management is a) Critical Process Management b) Critical Path Method ¢) Continuous Project Monitoring d) Cost Planning Model,The full form of CPM in project management is a) Critical Process Management b) Critical Path Method ¢) Continuous Project Monitoring d) Cost Planning Model,,,,,B,1,
PROJECT MANAGEMENT SKILLS,94,"Which of the following is NOT a tool of project planning, scheduling and monitoring? a) Gantt Chart b) Flow chart ¢) PERT Chart d) Milestone Chart","Which of the following is NOT a tool of project planning, scheduling and monitoring? a) Gantt Chart b) Flow chart ¢) PERT Chart d) Milestone Chart",,,,,B,1,
PROJECT MANAGEMENT SKILLS,96,Identify the incorrect statement regarding the functions of project planning. a) Defines project goals and objectives D-CET Syllabus b) Allocates resources without considering constraints c) Establishes a project timeline and milestones. d) Identifies potential-risks and mitigates them,Identify the incorrect statement regarding the functions of project planning. a) Defines project goals and objectives D-CET Syllabus b) Allocates resources without considering constraints c) Establishes a project timeline and milestones. d) Identifies potential-risks and mitigates them,,,,,B,1,
PROJECT MANAGEMENT SKILLS,97,"Which of the following is NOT a key component of ""SMART"" goal? b) Random d) Specific a) Time-Bound ¢) Achievable","Which of the following is NOT a key component of ""SMART"" goal? b) Random d) Specific a) Time-Bound ¢) Achievable",,,,,B,1,
