section_name,question_number,question_text,plain_text,option_a,option_b,option_c,option_d,correct_option,marks,diagram_url
ENGINEERING MATHEMATICS,14,"$\text{If } y=\log(\sqrt{\tan x}),\text{ then the value of } \frac{dy}{dx} \text{ at } x=\frac{\pi}{4} \text{ is}$","Find dy by dx","0","1","$\frac{1}{2}$","2","B",1,
ENGINEERING MATHEMATICS,15,"$\text{If } y=(2+3\log x)^{10}, \text{ then } \frac{dy}{dx} \text{ at } x=1 \text{ is}$","Derivative at x equals 1","$15(2^9)$","$15(2^{10})$","30","10","A",1,
ENGINEERING MATHEMATICS,16,"$\text{If } y=\sqrt{\sin x+y},\text{ then } \frac{dy}{dx} \text{ is}$","Find dy by dx","$\frac{\cos x}{2y-1}$","$\frac{\cos x}{1-2y}$","$\frac{\sin x}{2y-1}$","$\frac{\sin x}{1-2y}$","A",1,
ENGINEERING MATHEMATICS,17,"$\text{The value of } \int \cot^2 x \, dx \text{ is}$","Evaluate integral","$-\cot x-x+C$","$\cot x-x+C$","$\tan x-x+C$","$\tan^2 x+C$","A",1,
ENGINEERING MATHEMATICS,18,"$\text{The value of } \int_0^{\pi/4} \frac{\sec^2 x}{1+\tan x}\,dx \text{ is}$","Evaluate definite integral","$\log2+1$","$\log1$","$\log2$","$\log2-1$","C",1,
ENGINEERING MATHEMATICS,19,"$\text{The value of } \int \sqrt{1+\cos2x}\,dx \text{ is}$","Evaluate integral","$2\cos x+C$","$2\sin x+C$","$\sqrt{2}\cos x+C$","$\sqrt{2}\sin x+C$","D",1,
ENGINEERING MATHEMATICS,20,"$\text{The value of } \int_0^{\pi/4} \sin x \cos x\,dx \text{ is}$","Evaluate definite integral","$-\frac14$","$\frac14$","$\frac{\pi}{2}$","$\frac{\pi}{4}$","B",1,
STATISTICS & ANALYTICS,21,"$\text{The data extracted from the Google forms has the file extension as}$","The data extracted from Google forms has the file extension as",".doc",".docx",".csv",".xlsx","C",1,
STATISTICS & ANALYTICS,22,"$\text{Match the following with respect to the classification of data and data collection.}$","Match the following with respect to classification of data and data collection","a-iv, b-i, c-iii, d-ii","a-iv, b-ii, c-iii, d-i","a-iv, b-iii, c-i, d-ii","a-iv, b-i, c-ii, d-iii","C",1,
STATISTICS & ANALYTICS,23,"$\text{Data cleaning refers to}$","Data cleaning refers to","Modifying the gathered data","Adding data to the gathered data","Removing the data from gathered data","Processing the data according to the defined problem statement","A",1,
STATISTICS & ANALYTICS,24,"$\text{The syntax to find frequency distribution in an interval in Excel is}$","The syntax to find frequency distribution in an interval in Excel is","=COUNTIFS(criteria_range,criteria)","=COUNTIF(criteria_range,criteria)","=COUNT(criteria_range,criteria)","=COUNTIFS(criteria1,criteria2)","A",1,
STATISTICS & ANALYTICS,25,"$\text{Which tab in Excel supports in plotting Pie chart?}$","Which tab in Excel supports plotting pie chart","Home tab","View tab","Insert tab","Data tab","C",1,
STATISTICS & ANALYTICS,26,"$\text{Frequency polygon is a graph}$","Frequency polygon is a graph","Scatter graph","Pie graph","Bar graph","Line graph","D",1,
STATISTICS & ANALYTICS,27,"$\text{Which of the following statements on Histogram is true?}$","True statement about histogram","A histogram can display categorical data effectively","The bars in a histogram should not touch each other","A histogram shows the frequency distribution of continuous data","A histogram is same as a bar chart","C",1,
STATISTICS & ANALYTICS,28,"$\text{Choose the right stem-leaf plot from the following plots for the data set }52,20,44,28,20,41,30,56,32,28$","Choose the correct stem leaf plot","Plot-1","Plot-2","Plot-3","Plot-4","B",1,
STATISTICS & ANALYTICS,29,"$\text{The below chart represents the expenditure of a person in a month. If his salary is 50,000 what is his total expenditure on rent and transport?}$","Find expenditure on rent and transport","₹30,000","₹25,000","₹15,000","₹10,000","C",1,
STATISTICS & ANALYTICS,30,"$\text{For the data set given below, match the values of statistical parameters.}$","Match statistical parameters","i-d, ii-c, iii-b, iv-a","i-d, ii-c, iii-a, iv-b","i-a, ii-b, iii-c, iv-d","i-d, ii-a, iii-b, iv-c","B",1,
STATISTICS & ANALYTICS,31,"$\text{The Excel syntax for finding quartile 4 (4th quartile) for a given data set is}$","Excel syntax for quartile 4","=QUARTILE(array,4)","=QQUARTILE(array,4)","=QUARTILE(array_4)","=QUARTILE(array-4)","A",1,
STATISTICS & ANALYTICS,32,"$\text{Which of the following equalities and inequalities is true for the data set }25,25,25,25,25,25,25,25,25?$","Variance and standard deviation relationship","Variance > Standard deviation","Variance = Standard deviation","Variance < Standard deviation","Variance < 0 and SD < 0","B",1,
STATISTICS & ANALYTICS,33,"$\text{Skewness of the distribution shown below is}$","Skewness of the distribution","Positive","Zero","Negative","Undefined","B",1,
STATISTICS & ANALYTICS,34,"$\text{If the Kurtosis = 3, then the data distribution is called}$","Distribution based on kurtosis","Leptokurtic","Mesokurtic","Platykurtic","Skewkurtic","B",1,
STATISTICS & ANALYTICS,35,"$\text{Assertion (A): An int type data in Python can store floating point numbers. Reason (R): Python int type only stores positive integers.}$","Assertion reason on Python int","A is true, R is false","A is false, R is true","A is false, R is false","A is true, R is true","C",1,
STATISTICS & ANALYTICS,36,"$\text{Match the following data types.}$","Match Python data types","a-iii, b-iv, c-i, d-ii","a-iv, b-ii, c-ii, d-iii","a-iv, b-i, c-iii, d-ii","a-i, b-ii, c-i, d-iv","A",1,
STATISTICS & ANALYTICS,37,"$\text{What is the syntax to assign the data type to a variable in Python?}$","Assign data type to variable","Name = 'hello world'","Height = 5.9","Assertion = True","All of the above","D",1,
STATISTICS & ANALYTICS,38,"$\text{Which of the following is a valid variable name in Python?}$","Valid Python variable name","1 Var","Var_name","Var-name","Var name","B",1,
STATISTICS & ANALYTICS,39,"$\text{The output of the following Python program is}$","Output of Python program","15","5","55","0","A",1,
STATISTICS & ANALYTICS,40,"$\text{Which of the following is the correct syntax of an if statement in Python?}$","Correct if syntax in Python","if x > 0 then","if (x > 10)","if x > 10:","if x > 10;","C",1,
IT Skills,41,"$\text{Consider the following algorithms: Step1: A=5, B=3 Step2: if A>B, then A=A-B Step3: B=A+B Step4: Output B What is the output?}$","Algorithm output question","2","5","8","3","B",1,
IT Skills,42,"$\text{Which of the following best defines an algorithm?}$","Definition of algorithm","A graphical representation","A code snippet","A step-by-step procedure to solve a problem","A mobile application","C",1,
IT Skills,43,"$\text{Consider the following algorithm: Start if a<=b and a<=c print a else if b<=a and b<=c print b else print c End. If a=10, b=25, c=33 What output will be printed for the above algorithm?}$","Algorithm conditional output","25","33","10","None of the above","C",1,
IT Skills,44,"$\text{Consider the following algorithm: if num>0 num=num+10 print num else if num==0 num=num*10 print num else print num. What will be the output, if num=-5?}$","Algorithm output for num -5","50","-50","-5","5","C",1,
IT Skills,45,"$\text{Consider the following flowchart. What will be the output if a=10, b=15, c=5?}$","Flowchart output question","10","15","Error","5","D",1,
IT Skills,46,"$\text{Which of the following statements about web browsers is correct?}$","Correct statement about web browsers","Web browsers translate HTML, CSS and JavaScript into machine code","Web browsers cannot execute JavaScript","Web browsers interpret HTML, CSS and JavaScript to render webpages","Web browsers use server-side languages directly","C",1,
IT Skills,47,"$\text{Consider the following HTML code snippet. What does the <select> element do in this code?}$","Purpose of select tag","Creates a text input field","Creates a dropdown list","Allows multiple selection always","Creates a button","B",1,
IT Skills,48,"$\text{Which CSS property is used to set the background color of a webpage?}$","CSS background color property","background-color","color","bg-color","background-image","A",1,
IT Skills,49,"$\text{Which CSS selector is used to select an HTML element with a specific id?}$","CSS selector for id","id","#id","id()","[id]","B",1,
IT Skills,50,"$\text{Which event is triggered when a user clicks on an HTML element in JavaScript?}$","JavaScript click event","onload","onclick","onhover","onchange","B",1,
IT Skills,51,"$\text{Which of the following factors can help improve a website's SEO ranking?}$","SEO ranking factor","Using JavaScript rendering","High keyword density","Using relevant and high-quality backlinks","Including many images","C",1,
IT Skills,52,"$\text{Which of the following are the correct description with respect to structured organisation?}$","Structured organisation description","(a),(b)","(a),(b),(c)","(a) only","(b) only","A",1,
IT Skills,53,"$\text{Which of the following statements best describes the purpose of ERP tools in an organisation?}$","Purpose of ERP tools","Manage customer relationships","Integrate and automate business processes","Manage email communication","Manage IT hardware","B",1,
IT Skills,54,"$\text{In cloud computing, data is stored in}$","Cloud data storage location","Local folders","Physical notebooks","Remote servers accessed via internet","USB drives","C",1,
IT Skills,55,"$\text{Which of the following is an example of IoT in smart homes?}$","IoT example","GPS system in a car","Smart thermostat","E-commerce website","Manual doorbell","B",1,
IT Skills,56,"$\text{Which of the following is an example of Software-as-a-Service (SaaS)?}$","Example of SaaS","Microsoft Azure","Google Drive","AWS EC2","Google Kubernetes Engine","B",1,
IT Skills,57,"$\text{Which of the following is a platform for developing IoT applications?}$","IoT development platform","Google Docs","Arduino","Microsoft","WinZip","B",1,
IT Skills,58,"$\text{Ravi often uses incognito mode while browsing. Which of the following statement about Ravi's assumption is correct?}$","Incognito mode limitation","Provides full malware protection","Hides activity from device","Prevents only local history tracking","Encrypts traffic","C",1,
IT Skills,59,"$\text{Rita is using a public computer in a cyber cafe. What cyber safety mistake did Rita make?}$","Cyber safety mistake","Read personal emails","Used public computer","Did not logout of her account","Did not clear browsing history","C",1,
IT Skills,60,"$\text{To safeguard against cyber attacks that steal sensitive information or install malicious software, which browser setting should be enabled?}$","Browser security setting","Enable automatic updates","Turn on phishing and malware protection","Disable protection","Enable cookies","B",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,61,"$\text{Match the following with symbols: i) Resistance ii) Transformer iii) Capacitor iv) Battery}$","Match components with symbols","i-a,ii-c,iii-d,iv-b","i-d,ii-b,iii-c,iv-a","i-b,ii-c,iii-d,iv-a","i-d,ii-c,iii-a,iv-b","D",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,62,"$\text{Earthing plate is made up of}$","Material of earthing plate","Bakelite","Aluminium","Copper","Plastic","C",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,63,"$\text{Match the following: i) Current ii) Power iii) Energy iv) Frequency}$","Match quantities with units","i-a,ii-c,iii-b,iv-d","i-c,ii-b,iii-d,iv-a","i-d,ii-a,iii-c,iv-b","i-d,ii-a,iii-c,iv-b","D",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,64,"$\text{If resistance of value }12\Omega\text{ and }6\Omega\text{ are connected in parallel, the equivalent resistance of the combination is}$","Equivalent resistance in parallel","18$\Omega$","6$\Omega$","4$\Omega$","2$\Omega$","C",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,65,"$\text{In a given electrical circuit, find the value of current.}$","Find current in circuit","2A","0.5A","2A","1.2A","A",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,66,"$\text{The frequency of signal with a period of }0.02\text{ sec is}$","Find frequency from time period","100 Hz","200 Hz","50 Hz","150 Hz","C",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,67,"$\text{In a pure resistive circuit, which one of the following statement is true?}$","Pure resistive circuit statement","Both current and voltage are in phase","Current leads the voltage","Voltage lags the current","Both current and voltage are out of phase","A",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,68,"$\text{HRC fuses can be used upto a maximum current of}$","Maximum current of HRC fuse","250 mA","500 mA","1 A","1250 A","D",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,69,"$\text{To control single lamp from two different places, the control switch used is}$","Switch for two place control","Double pole","Two way","Single pole","One way","B",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,70,"$\text{A fuse is always connected to the circuit}$","Fuse connection","Parallel","Across the load","Series","Across the supply","C",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,71,"$\text{In a Transformer, which of the following remains constant}$","Constant quantity in transformer","Voltage","Frequency","Current","Both current and voltage","B",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,72,"$\text{The combination of two or more cells is}$","Combination of cells","Battery","Load cell","Primary cell","Generator","A",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,73,"$\text{Match the following: i) Ampere hour ii) KVA iii) Star delta iv) Fan}$","Match electrical terms","i-a,ii-b,iii-c,iv-d","i-c,ii-a,iii-d,iv-b","i-b,ii-c,iii-d,iv-a","i-b,ii-a,iii-c,iv-d","C",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,74,"$\text{In a transformer, the winding to which the load is connected is called}$","Load connected winding","Primary","Auxiliary","Secondary","Concentric","C",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,75,"$\text{Which of the following statements is FALSE with respect to transformer?}$","False statement about transformer","Converts high voltage to low voltage","Converts high frequency to low frequency","Converts low voltage to high voltage","Transfers energy at constant frequency","B",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,76,"$\text{Match the following logic gates with their symbols: i) AND ii) OR iii) NAND iv) NOR}$","Match logic gates","i-a,ii-b,iii-c,iv-d","i-b,ii-c,iii-d,iv-a","i-d,ii-a,iii-c,iv-b","i-c,ii-d,iii-a,iv-b","D",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,77,"$\text{Which of the following is a common type of sensor used for measuring temperature?}$","Temperature sensor","Proximity sensor","Pressure sensor","Flow sensor","Thermocouple","D",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,78,"$\text{What does the fourth band in a 4-band resistor indicate?}$","Fourth resistor band","Resistance","Multiplier","Power rating","Tolerance","D",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,79,"$\text{Which of the following is an example of Insulator?}$","Identify insulator","Aluminium","Rubber","Iron","Silicon","B",1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,80,"$\text{Diode is made up of which material}$","Material of diode","Conducting","Semiconducting","Insulating","Electronic","B",1,
PROJECT MANAGEMENT SKILLS,81,"$\text{Complete the following analogy. Project : Deliverables :: Operation :}$","Complete the analogy Project Deliverables Operation","Deadlines","Efficiency","Repetition","Conclusion","C",1,
PROJECT MANAGEMENT SKILLS,82,"$\text{Multiple objectives are achieved again and again in}$","Multiple objectives are achieved again and again in","Operation","Project","Business","Sales","A",1,
PROJECT MANAGEMENT SKILLS,83,"$\text{Which of the following are the examples of consultancy firms? A) Accenture B) TCS C) Tata Motors D) Birla Technical Services}$","Examples of consultancy firms","A, B and C only","A, B and D only","A and D only","A, B, C and D","B",1,
PROJECT MANAGEMENT SKILLS,84,"$\text{Which of the following is NOT an obstacle in project management?}$","Not an obstacle in project management","Undefined project scope","Poor communication among team members","Clear project objectives and goals","Limited resources","C",1,
PROJECT MANAGEMENT SKILLS,85,"$\text{Complete the following analogy. Project Procedure Manual : Provides standard operating procedures :: Project diary :}$","Complete the analogy Project Procedure Manual Project diary","Records daily events and issues","Provides step-by-step instructions","Outlines rules and processes","Used only during project closure","A",1,
PROJECT MANAGEMENT SKILLS,86,"$\text{What does Work Breakdown Structure (WBS) do to help a Project Manager?}$","Purpose of Work Breakdown Structure","Track the project's financial performance","Breakdown the project into smaller manageable tasks","Determine project's risk level","Allocate resources to team members","B",1,
PROJECT MANAGEMENT SKILLS,87,"$\text{Match the following. i) Initial project team ii) Core project team iii) Project stakeholders iv) Project advisors}$","Match the following project roles","i-d,ii-b,iii-c,iv-a","i-a,ii-b,iii-d,iv-c","i-b,ii-a,iii-c,iv-d","i-d,ii-c,iii-b,iv-a","A",1,
PROJECT MANAGEMENT SKILLS,88,"$\text{Which of the following is NOT a subpart of Project Execution Plan (PEP)?}$","Not a subpart of Project Execution Plan","Organizational plan","Work packing plan","Staffing plan","Contracting plan","C",1,
PROJECT MANAGEMENT SKILLS,89,"$\text{High demand, high selling price, low variable cost are the examples of}$","Identify the scenario","Normal scenario","Worst scenario","Best scenario","Abnormal scenario","C",1,
PROJECT MANAGEMENT SKILLS,90,"$\text{In which phase, project definition and problem identification are defined?}$","Phase in which project definition is done","Planning","Execution","Initiation","Closure","C",1,
PROJECT MANAGEMENT SKILLS,91,"$\text{Risk arising due to fluctuation of interest rate OR mistakes in accounting is known as}$","Type of risk","Policy risk","Technical risk","Marketing risk","Financial risk","D",1,
PROJECT MANAGEMENT SKILLS,92,"$\text{Assertion (A): Time overrun can lead to cost overrun in a project. Reason (R): More time often means more money spent on labour and resources.}$","Assertion reason question","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A",1,
PROJECT MANAGEMENT SKILLS,93,"$\text{The full form of CPM in project management is}$","Full form of CPM","Critical Process Management","Critical Path Method","Continuous Project Monitoring","Cost Planning Model","B",1,
PROJECT MANAGEMENT SKILLS,94,"$\text{Which of the following is NOT a tool of project planning, scheduling and monitoring?}$","Not a project planning tool","Gantt Chart","Flow chart","PERT Chart","Milestone Chart","B",1,
PROJECT MANAGEMENT SKILLS,95,"$\text{Project Evaluation can be done}$","When project evaluation is done","At the end of the project only","Throughout the project lifecycle","Only during the planning phase","At the start of the project only","B",1,
PROJECT MANAGEMENT SKILLS,96,"$\text{Identify the incorrect statement regarding the functions of project planning.}$","Incorrect statement of project planning","Defines project goals and objectives","Allocates resources without considering constraints","Establishes a project timeline and milestones","Identifies potential risks and mitigates them","B",1,
PROJECT MANAGEMENT SKILLS,97,"$\text{Which of the following is NOT a key component of SMART goal?}$","SMART goal component","Time-Bound","Random","Achievable","Specific","B",1,
PROJECT MANAGEMENT SKILLS,98,"$\text{The process of correcting and rectifying the errors in the project is}$","Process of correcting errors","Project Audit","Project Monitoring","Project Evaluation","Project Review","D",1,
PROJECT MANAGEMENT SKILLS,99,"$\text{The time estimation for a given project are as follows: Optimistic Time = 4 days, Pessimistic Time = 8 days, Most Likely Time = 6 days. The expected time to complete is}$","Expected time calculation","7 days","6 days","5 days","4 days","B",1,
PROJECT MANAGEMENT SKILLS,100,"$\text{Watching 3D movie is an example of}$","Technology used in 3D movie","Augmented Reality","Virtual Reality","Augmented and Virtual Reality","Cloud Technology","C",1,
