section_name,question_number,question_text,plain_text,option_a,option_b,option_c,option_d,correct_option,marks,diagram_url
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,38,Photo diode is used in which application?,Photo diode is used in which application?,Voltage regulation,Temperature measurement,Light detection,RF amplification,B,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,39,"If resistor band = Brown (1), Black (0), Red (\(\times 100\)), resistance is","If resistor band = Brown (1), Black (0), Red (\(\times 100\)), resistance is",1 k\(\Omega\),10 k\(\Omega\),100 \(\Omega\),100 k\(\Omega\),A,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,40,Binary equivalent of decimal 9 is,Binary equivalent of decimal 9 is,1001,1000,1100,1010,A,1,
PROJECT MANAGEMENT SKILLS,41,Project Management is a combination of,Project Management is a combination of,human and non-human resources,only human resources,only non-human resources,no resources at all,A,1,
PROJECT MANAGEMENT SKILLS,42,The consultant appointed to carry out the project work is,The consultant appointed to carry out the project work is,Compound house consultant,In-house consultant,Out-house consultant,Bridge consultant,B,1,
PROJECT MANAGEMENT SKILLS,43,The type of project which requires minimum amount of capital is,The type of project which requires minimum amount of capital is,Crash project,Normal project,Disaster project,Consultant project,A,1,
PROJECT MANAGEMENT SKILLS,44,"Projects like building a hospital, park, playground and highway construction are examples of","Projects like building a hospital, park, playground and highway construction are examples of",Social needs,Customer needs,Market needs,Ecological needs,A,1,
PROJECT MANAGEMENT SKILLS,45,"In Project Management, WBS stands for","In Project Management, WBS stands for",Work Breakdown Structure,Waste Breakdown Structure,Window Breakdown Structure,Wireless Breakdown Structure,A,1,
PROJECT MANAGEMENT SKILLS,46,The first step in Project Execution Plan is,The first step in Project Execution Plan is,Work packaging plan,Contracting plan,Organization plan,Procedure plan,A,1,
PROJECT MANAGEMENT SKILLS,47,The team which gives the idea to start a project is,The team which gives the idea to start a project is,Core project team,Full project team,Advising project team,Initial project team,A,1,
PROJECT MANAGEMENT SKILLS,48,"In PEP, the letter 'E' stands for","In PEP, the letter 'E' stands for",Execution,Estimation,Evaluation,Enthusiasm,A,1,
PROJECT MANAGEMENT SKILLS,49,"In Project Life Cycle, more time is required for","In Project Life Cycle, more time is required for",Project closure,Project initiation,Project execution,Project planning,C,1,
PROJECT MANAGEMENT SKILLS,50,Innovation is the hallmark of every project. Innovation means,Innovation is the hallmark of every project. Innovation means,New ideas,Project success,Professional approach,Project Management,A,1,
PROJECT MANAGEMENT SKILLS,51,The Project Life Cycle Curve indicates,The Project Life Cycle Curve indicates,Work packaging,Number of workers in the project,"Growth, maturity and decline",Project manual,C,1,
PROJECT MANAGEMENT SKILLS,52,Taking actions to measure the quality accurately is the function of,Taking actions to measure the quality accurately is the function of,Quality management,Cost management,Review management,Risk management,A,1,
PROJECT MANAGEMENT SKILLS,53,Project planning methodologies involve,Project planning methodologies involve,Planning by non-incentive and direction,Planning by incentive and direction,Unplanned initiation,Changing the project policies,B,1,
PROJECT MANAGEMENT SKILLS,54,Identify the incorrect statement,Identify the incorrect statement,Project objective should be specific,Project objective should be realistic,Project objective should not be framed timely,Project objective should be measurable,C,1,
PROJECT MANAGEMENT SKILLS,55,"WBS, PEP and PPM are the tools used to design","WBS, PEP and PPM are the tools used to design",Project plan,Project work system,Project diary,Project direction,A,1,
PROJECT MANAGEMENT SKILLS,56,The earliest method used for planning of project was,The earliest method used for planning of project was,CPM,PERT,Bar Chart,Milestone Chart,A,1,
PROJECT MANAGEMENT SKILLS,57,The expansion of PERT is,The expansion of PERT is,Programme Evaluation and Review Technique,Project Estimation and Recording Tool,Project Estimation and Resource Technology,Performance Estimation and Resource Tool,A,1,
PROJECT MANAGEMENT SKILLS,58,"For non-repetitive projects, ______ tool is used in production planning and scheduling","For non-repetitive projects, ______ tool is used in production planning and scheduling",CPM,PERT,Both CPM and PERT,Bar Chart,B,1,
PROJECT MANAGEMENT SKILLS,59,The purpose of conducting a project review is,The purpose of conducting a project review is,To close the project,To initiate the project,To develop the project scope,To assess project performance,D,1,
PROJECT MANAGEMENT SKILLS,60,A project review does not contain,A project review does not contain,Performance evaluation,Evaluating the capital budget,Data collection,Initial review,D,1,
ENGINEERING MATHEMATICS,61,"In a square matrix, if the elements above the principal diagonal are zero, then it is called","In a square matrix, if the elements above the principal diagonal are zero, then it is called",Identity matrix,Lower triangular matrix,Upper triangular matrix,Diagonal matrix,C,1,
ENGINEERING MATHEMATICS,62,The value of x if \( \begin{vmatrix} x-1 & 2 \\ 2 & 4 \end{vmatrix} \) is singular,The value of x if determinant is singular,3,8,-2,2,C,1,
ENGINEERING MATHEMATICS,63,The inverse of the matrix \( A=\begin{bmatrix}-1&0\\5&7\end{bmatrix} \) is,The inverse of matrix A,\( -\frac{1}{7}\begin{bmatrix}7&0\\-5&-1\end{bmatrix} \),\( \frac{1}{7}\begin{bmatrix}7&0\\-5&-1\end{bmatrix} \),\( -\frac{1}{7}\begin{bmatrix}-7&0\\-5&-1\end{bmatrix} \),\( \frac{1}{7}\begin{bmatrix}7&0\\5&1\end{bmatrix} \),A,1,
ENGINEERING MATHEMATICS,64,The eigenvalues of matrix \( A=\begin{bmatrix}3&0\\1&3\end{bmatrix} \) are,Eigenvalues of matrix A,"2,2","-3,-3","3,3","-3,3",C,1,
ENGINEERING MATHEMATICS,65,The two lines \( ax+by=c \) and \( a'x+b'y=c' \) are perpendicular if,Condition of perpendicular lines,\( ab'=ba' \),\( aa'+bb'=0 \),\( a'b+a b'=0 \),\( ab'+ba'=0 \),B,1,
ENGINEERING MATHEMATICS,66,The y-intercept of any line passing through origin is,The y-intercept of a line through origin,0,1,-1,2,A,1,
ENGINEERING MATHEMATICS,67,Slope form of straight line is,Slope form,\( y+mx-c=0 \),\( x=my+c \),\( y=x+m \),\( y=mx+c \),D,1,
ENGINEERING MATHEMATICS,68,"The tangent of the angle between two lines having slopes \( m_1,m_2 \) is",Tangent of angle between two lines,\( \frac{m_1+m_2}{1-m_1m_2} \),\( \frac{m_1+m_2}{1+m_1m_2} \),\( \frac{m_1-m_2}{1-m_1m_2} \),\( \frac{m_1-m_2}{1+m_1m_2} \),A,1,
ENGINEERING MATHEMATICS,69,"If the ladder is inclined making \(135^\circ\) with wall, the inclination in radians is",Convert angle to radians,\( \frac{4\pi}{3} \),\( \frac{3\pi}{4} \),\( \frac{2\pi}{4} \),\( \frac{4\pi}{5} \),B,1,
ENGINEERING MATHEMATICS,70,The value of \( \sin 60^\circ \cos 30^\circ - \cos 60^\circ \sin 30^\circ \) is,Trigonometric identity,\( \frac{1}{2} \),\( -\frac{1}{2} \),\( \frac{\sqrt{3}}{2} \),0,D,1,
ENGINEERING MATHEMATICS,71,The simplified value of \( \frac{\sin 3A + \sin A}{\sin 3A - \sin A} \) is,Simplify expression,\( \cot A \tan 5A \),\( \tan A \cot 2A \),\( \tan 2A \cot A \),\( \tan 3A \cot 2A \),B,1,
ENGINEERING MATHEMATICS,72,"If \( y=\log x + \sec 2x \), then \( \frac{dy}{dx} \) is",Differentiate y,\( -\frac{1}{x}+\sec 2x \tan x \),\( \frac{1}{x}+2\sec 2x \tan 2x \),\( \frac{1}{\sqrt{x}}+\sec x \tan x \),\( -\frac{1}{\sqrt{x}}+\sec 3x \tan 2x \),B,1,
ENGINEERING MATHEMATICS,73,The derivative of \( \frac{1+x}{1-x} \) is,Differentiate function,\( -\frac{2}{(1-x)^2} \),\( \frac{2x}{(1-x)^2} \),\( -\frac{2x}{(1-x)^2} \),\( \frac{2}{(1-x)^2} \),A,1,
ENGINEERING MATHEMATICS,74,Find the second order derivative of \( y=e^{2x}-e^{-x} \),Second derivative,\( 4e^{2x}-e^{-x} \),\( 4e^{2x}+e^{-x} \),\( -4e^{2x}-e^{-x} \),\( 4e^{2x}+e^x \),A,1,
ENGINEERING MATHEMATICS,75,"Equation of tangent to \( y=2x^2+x \) at (1,2) is",Tangent equation,\( 5x-y-3=0 \),\( 5x+y+3=0 \),\( 5x+y-6=0 \),\( 5x+y+6=0 \),A,1,
ENGINEERING MATHEMATICS,76,The value of \( \int (\sec x \tan x + \sec^2 x )dx \) is,Evaluate integral,\( \sec 2x+\tan x+c \),\( \sec x+\cosec x+c \),\( \sec x+\tan x+c \),\( \sec x- \cosec^2 x+c \),C,1,
ENGINEERING MATHEMATICS,77,"The value of \( \int (2x^3+3x^2+2x)^{10} (3x^2+3x+1)\,dx \) is",Evaluate integral,\( \frac{1}{22}(6x+3x^2+2x)^{11}+c \),\( \frac{1}{22}(2x^3+3x^2+2x)^{11}+c \),\( \frac{1}{22}(2x^3+3x^2-2x)^{12}+c \),\( \frac{1}{12}(2x^3+3x^2-2x)^{12}+c \),B,1,
ENGINEERING MATHEMATICS,78,"The value of \( \int_0^{\pi/4}\tan^2 x\,dx \) is",Evaluate definite integral,\( 1+\frac{\pi}{4} \),\( 1+\frac{4\pi}{2} \),\( 1-\frac{\pi}{4} \),\( 1-\frac{4\pi}{2} \),A,1,
ENGINEERING MATHEMATICS,79,Area bounded by \( y=\sin x \) and x-axis from \( x=0 \) to \( x=\pi \) is,Area under curve,2,-2,3,1,A,1,
ENGINEERING MATHEMATICS,80,The value of \( \tan 45^\circ \cot 225^\circ + \tan^2 60^\circ \) is,Simplify expression,-4,4,2,3,C,1,
STATISTICS & ANALYTICS,81,_____ is an example of quantitative data.,_____ is an example of quantitative data.,Volume,Words,Symbols,Colour,A,1,
STATISTICS & ANALYTICS,82,Data cleaning is the process of,Data cleaning is the process of,removing viruses,correctly formatting data,removing duplicate data,properly formatting data,B,1,
STATISTICS & ANALYTICS,83,_____ is not a data collection tool.,_____ is not a data collection tool.,Word,Focus Group Discussion,Survey,Questionnaire,B,1,
STATISTICS & ANALYTICS,84,The graph of cumulative frequency is called,The graph of cumulative frequency is called,Frequency polygon,Histogram,Cumulative frequency polygon,Frequency histogram,C,1,
STATISTICS & ANALYTICS,85,"To calculate percentage frequency, we use _____ formula.","To calculate percentage frequency, we use _____ formula.",P.f. = (f × n) ÷ 100,P.f. = (f ÷ n) × 100,P.f. = (100) ÷ (f × n),P.f. = (100) × (f ÷ n),B,1,
STATISTICS & ANALYTICS,86,"If X₁, X₂, X₃ ... Xₙ are the observations of a given data, then the mean will be:","If X₁, X₂, X₃ ... Xₙ are the observations of a given data, then the mean will be:",\(\frac{\text{Total number of observations}}{\text{Sum of observations}}\),Sum of observations + Total number of observations,\(\frac{\text{Sum of observations}}{\text{Total number of observations}}\),Total number of observations − Sum of observations,C,1,
STATISTICS & ANALYTICS,87,"The end points of a class interval are the _____ and _____ values a variable can take. *The graph given below, shows the participation of students of a school in outdoor games in different years. By using the data given below, answer the following questions (88 - 89):*","The end points of a class interval are the _____ and _____ values a variable can take. The graph given below, shows the participation of students of a school in outdoor games in different years. By using the data given below, answer the following questions (88 - 89):",Lowest and Highest,Minimum and Maximum,Numeral and Average,Mean and Mode,B,1,/static/exam_diagrams/2023_q87-89.png
STATISTICS & ANALYTICS,88,In which years did the girls participate more than the boys?,In which years did the girls participate more than the boys?,"2020, 2023","2021, 2022","2022, 2023","2020, 2021",B,1,/static/exam_diagrams/2023_q87-89.png
STATISTICS & ANALYTICS,89,In which two years did an equal number of boys participate?,In which two years did an equal number of boys participate?,"2020, 2021","2020, 2022","2020, 2023","2021, 2022",D,1,/static/exam_diagrams/2023_q87-89.png
STATISTICS & ANALYTICS,90,"To find third quartile in Excel, we use _____ formula.","To find third quartile in Excel, we use _____ formula.","= QUARTER (3, Range)","= QUARTILE (3, Range)","= QUARTER (Range, 3)","= QUARTILE (Range, 3)",D,1,
STATISTICS & ANALYTICS,91,The percentile divides a series into _____ equal parts.,The percentile divides a series into _____ equal parts.,fifty,twenty,ten,hundred,D,1,
STATISTICS & ANALYTICS,92,"If the first quartile is 23 and interquartile range is 20, the third quartile is","If the first quartile is 23 and interquartile range is 20, the third quartile is",23,33,43,53,C,1,
STATISTICS & ANALYTICS,93,The algebraic sum of the deviations of a frequency distribution from its mean is always,The algebraic sum of the deviations of a frequency distribution from its mean is always,a non-zero number,zero,less than zero,greater than zero,B,1,
STATISTICS & ANALYTICS,94,The Excel formula for ‘Mean’ is,The Excel formula for ‘Mean’ is,= MEDIAN (array of numbers),= AVERAGE (array of numbers),= MEAN (array of numbers),= MODE (array of numbers),B,1,
STATISTICS & ANALYTICS,95,What is output syntax in Python?,What is output syntax in Python?,Print( ),PRINT( ),print( ),Printf( ),C,1,
STATISTICS & ANALYTICS,96,'str' is a,'str' is a,Text Type,Numeric Type,Binary Type,Sequence Type,B,1,
STATISTICS & ANALYTICS,97,"In Python, _____ standard data types are commonly used.","In Python, _____ standard data types are commonly used.",three,five,ten,four,B,1,
STATISTICS & ANALYTICS,98,The result of Python program gets displayed in _____,The result of Python program gets displayed in _____,IDLE Shell 3.9.1 window,IDLE Shell 3.1.9 window,ILDE Shell 3.9.1 window,IELD Shell 3.9.1 window,A,1,
